date,geography,geography code,Rural Urban,Dwelling Type: All categories: Accommodation type; measures: Value,Dwelling Type: Unshared dwelling: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value,Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value,"Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value",Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value,Dwelling Type: Shared dwelling; measures: Value
2011,Bala BUA,W37000296,Total,936,932,797,239,215,343,135,86,14,35,0,4
2011,Abersoch BUA,W37000297,Total,408,408,360,210,89,61,43,15,15,13,5,0
2011,Llangefni BUA,W37000298,Total,2092,2092,1829,687,621,521,259,213,20,26,4,0
2011,St Fagans BUA,W37000299,Total,121,121,108,62,21,25,13,11,1,1,0,0
2011,Chwilog BUA,W37000300,Total,277,277,267,155,71,41,8,5,3,0,2,0
2011,Holyhead BUA,W37000301,Total,5193,5191,4373,963,1191,2219,814,632,100,82,4,2
2011,Waungilwen BUA,W37000302,Total,564,564,553,280,208,65,10,3,3,4,1,0
2011,Glyncorrwg BUA,W37000303,Total,463,463,413,37,178,198,50,46,3,1,0,0
2011,Southgate BUA,W37000304,Total,840,840,826,574,242,10,14,7,3,4,0,0
2011,Wenvoe BUA,W37000305,Total,490,490,467,311,112,44,15,12,3,0,8,0
2011,Ynysmaerdy BUA,W37000306,Total,95,90,74,12,46,16,16,11,5,0,0,5
2011,Llangeinor BUA,W37000307,Total,384,384,379,88,220,71,5,3,0,2,0,0
2011,Pontyates BUA,W37000308,Total,650,650,639,253,340,46,11,3,4,4,0,0
2011,Llangybi BUA,W37000309,Total,190,190,189,138,21,30,1,1,0,0,0,0
2011,Llandre BUA,W37000310,Total,288,288,286,219,42,25,2,0,1,1,0,0
2011,Corwen BUA,W37000311,Total,219,219,195,51,48,96,24,6,4,14,0,0
2011,Murton (Swansea) BUA,W37000312,Total,1553,1553,1450,956,448,46,102,82,12,8,1,0
2011,Meidrim BUA,W37000313,Total,235,235,221,170,38,13,11,5,1,5,3,0
2011,Aberfan BUA,W37000314,Total,1482,1482,1422,133,308,981,59,56,2,1,1,0
2011,Brawdy BUA,W37000315,Total,105,105,100,39,51,10,3,2,1,0,2,0
2011,Crofty BUA,W37000316,Total,450,450,444,297,120,27,6,3,0,3,0,0
2011,Bwlchgwyn BUA,W37000317,Total,344,344,337,208,85,44,5,3,0,2,2,0
2011,Caersws BUA,W37000318,Total,391,391,354,68,141,145,37,32,3,2,0,0
2011,Port-Eynon BUA,W37000319,Total,112,112,105,68,24,13,7,1,1,5,0,0
2011,Cwmllynfell BUA,W37000320,Total,598,598,566,208,303,55,32,25,5,2,0,0
2011,Llandybie BUA,W37000321,Total,1206,1206,1102,445,538,119,102,84,7,11,2,0
2011,Raglan BUA,W37000322,Total,552,552,516,231,229,56,35,22,5,8,1,0
2011,Abergwili BUA,W37000323,Total,251,251,246,118,70,58,5,2,1,2,0,0
2011,Newcastle Emlyn BUA,W37000324,Total,840,840,720,348,225,147,119,69,24,26,1,0
2011,Rhostryfan BUA,W37000325,Total,275,275,270,159,84,27,5,4,1,0,0,0
2011,Broad Haven BUA,W37000326,Total,391,391,349,183,78,88,39,29,5,5,3,0
2011,St Ishmael's BUA,W37000327,Total,206,206,203,128,59,16,3,1,1,1,0,0
2011,Blackmill BUA,W37000328,Total,264,264,242,93,77,72,22,21,1,0,0,0
2011,Cowbridge BUA,W37000329,Total,1776,1776,1603,911,457,235,173,106,36,31,0,0
2011,Trefechan BUA,W37000330,Total,421,421,420,94,280,46,1,1,0,0,0,0
2011,Llanrug BUA,W37000331,Total,756,756,737,256,278,203,16,10,4,2,3,0
2011,Narberth BUA,W37000332,Total,1030,1030,879,332,270,277,147,99,16,32,4,0
2011,Pendine BUA,W37000333,Total,149,149,130,84,41,5,19,5,6,8,0,0
2011,Hirwaun BUA,W37000334,Total,3007,3007,2773,597,1429,747,213,192,10,11,21,0
2011,Stepaside BUA,W37000335,Total,275,275,252,207,40,5,20,11,9,0,3,0
2011,Pwllheli BUA,W37000336,Total,1919,1913,1442,364,326,752,469,298,96,75,2,6
2011,Clydach BUA,W37000337,Total,303,303,299,119,119,61,4,2,2,0,0,0
2011,Tredegar BUA,W37000338,Total,6618,6618,6065,844,2271,2950,550,447,28,75,3,0
2011,Groeslon BUA,W37000339,Total,372,372,366,151,115,100,6,2,3,1,0,0
2011,Builth Wells BUA,W37000340,Total,1251,1251,1090,433,421,236,160,76,43,41,1,0
2011,Mostyn BUA,W37000341,Total,672,672,666,198,355,113,4,0,2,2,2,0
